index,kind,status,worker_id,elapsed_s,error
1,small,200,groq_worker_1_4,20.11,
2,small,200,groq_worker_1_3,32.61,
3,small,200,groq_worker_1_3,1.33,
4,large,200,groq_worker_2_2,52.66,
5,small,200,groq_worker_2_2,1.31,
6,small,200,groq_worker_1_3,30.53,
7,small,200,groq_worker_2_4,3.38,
8,small,200,groq_worker_2_3,3.36,
9,small,200,groq_worker_1_3,153.83,
10,small,200,groq_worker_1_3,40.94,
11,small,200,groq_worker_1_2,2.09,
12,small,200,groq_worker_2_4,1.72,
13,large,200,groq_worker_1_4,1.49,
14,small,200,groq_worker_2_3,1.44,
15,small,200,groq_worker_2_2,1.58,
16,large,200,groq_worker_1_2,1.41,
17,small,200,groq_worker_1_3,1.49,
18,small,200,groq_worker_2_2,34.69,
19,small,200,groq_worker_1_4,102.69,
20,small,200,groq_worker_1_3,109.05,
21,small,200,worker_2_1,64.56,
22,small,200,groq_worker_1_3,1.61,
23,small,200,groq_worker_1_2,109.05,
24,small,200,worker_2_1,58.62,
25,small,200,worker_1_1,78.44,
26,large,200,groq_worker_2_2,134.31,
27,small,200,worker_2_1,174.44,
28,small,200,groq_worker_1_4,105.39,
29,small,200,groq_worker_2_3,200.53,
30,small,200,groq_worker_2_4,1.42,
31,small,200,worker_1_1,21.41,
32,small,200,groq_worker_2_4,3.17,
33,large,200,groq_worker_1_2,40.99,
34,small,200,groq_worker_2_2,3.28,
35,small,200,groq_worker_1_4,1.33,
36,large,200,groq_worker_1_3,19.72,
37,small,200,groq_worker_2_3,1.55,
38,small,200,groq_worker_1_2,156.16,
39,small,200,groq_worker_2_4,1.55,
40,small,200,worker_2_1,68.78,
41,large,200,groq_worker_1_2,1.53,
42,small,200,groq_worker_1_4,103.19,
43,small,200,groq_worker_2_2,164.34,
44,large,200,groq_worker_2_2,59.34,
45,small,200,groq_worker_1_3,3.3,
46,small,200,groq_worker_1_4,1.62,
47,large,200,groq_worker_1_3,28.41,
48,small,200,worker_2_1,19.84,
49,large,200,groq_worker_2_2,1.45,
50,small,200,groq_worker_2_3,1.7,
51,small,200,worker_2_1,202.55,
52,small,200,worker_2_1,206.84,
53,large,,,240.84,timeout after 240.8s: ReadTimeout
54,small,200,groq_worker_1_2,153.8,
55,small,200,groq_worker_1_3,3.48,
56,small,200,groq_worker_1_4,3.34,
57,large,200,groq_worker_1_2,3.2,
58,small,200,worker_2_1,158.66,
59,small,200,groq_worker_2_2,1.72,
60,small,200,worker_2_1,128.23,
61,small,200,groq_worker_2_3,135.5,
62,small,200,groq_worker_1_3,17.56,
63,small,200,groq_worker_1_4,205.17,
64,small,200,groq_worker_1_2,17.58,
65,small,200,groq_worker_2_2,103.95,
66,small,200,groq_worker_1_2,1.66,
67,small,200,groq_worker_1_3,94.44,
68,small,200,groq_worker_2_4,163.92,
69,small,200,groq_worker_2_2,194.64,
70,large,,,240.83,timeout after 240.8s: ReadTimeout
71,large,,,240.94,timeout after 240.9s: ReadTimeout
72,large,200,groq_worker_1_4,17.56,
73,small,200,groq_worker_1_2,162.89,
74,small,200,worker_1_1,172.53,
75,small,,,240.94,timeout after 240.9s: ReadTimeout
76,large,200,groq_worker_2_4,25.92,
77,small,200,groq_worker_1_2,104.5,
78,small,200,worker_1_1,84.78,
79,small,200,groq_worker_1_3,1.78,
80,small,200,groq_worker_2_2,101.62,
81,small,200,groq_worker_1_4,1.75,
82,small,200,groq_worker_2_2,15.2,
83,small,200,groq_worker_2_2,101.75,
84,small,200,worker_2_1,41.25,
85,small,200,groq_worker_1_4,62.41,
86,large,,,240.94,timeout after 240.9s: ReadTimeout
87,small,200,worker_2_1,39.23,
88,small,200,groq_worker_1_2,94.5,
89,small,200,groq_worker_2_4,72.53,
90,small,200,groq_worker_2_2,93.84,
91,small,200,groq_worker_1_2,102.26,
92,small,,,240.94,timeout after 240.9s: ReadTimeout
93,small,200,groq_worker_1_4,128.64,
94,small,200,worker_1_1,91.45,
95,small,200,worker_1_1,111.01,
96,small,200,groq_worker_2_3,125.48,
97,small,200,groq_worker_2_4,214.95,
98,large,,,240.94,timeout after 240.9s: ReadTimeout
99,small,,,240.94,timeout after 240.9s: ReadTimeout
100,small,200,groq_worker_1_4,195.26,
101,small,200,groq_worker_1_4,15.19,
102,small,200,worker_1_1,41.48,
103,large,200,groq_worker_2_2,2.61,
104,small,200,worker_1_1,67.48,
105,large,200,groq_worker_1_3,102.08,
106,large,200,groq_worker_1_2,15.16,
107,small,200,groq_worker_1_4,88.3,
108,small,200,groq_worker_2_3,170.33,
109,small,200,groq_worker_2_3,5.11,
110,large,200,groq_worker_2_3,191.61,
111,large,200,groq_worker_2_2,235.14,
112,small,200,groq_worker_1_3,104.5,
113,large,200,groq_worker_1_2,160.58,
114,small,200,groq_worker_1_2,186.2,
115,small,200,worker_2_1,78.66,
116,small,200,groq_worker_1_2,66.42,
117,small,200,worker_2_1,209.44,
118,large,200,groq_worker_2_4,189.86,
119,small,200,groq_worker_2_2,5.08,
120,small,,,240.94,timeout after 240.9s: ReadTimeout
121,small,200,groq_worker_1_3,193.61,
122,small,200,groq_worker_1_4,156.51,
123,small,200,groq_worker_1_3,118.0,
124,small,,,240.94,timeout after 240.9s: ReadTimeout
125,large,200,groq_worker_2_4,107.92,
126,large,200,groq_worker_2_4,232.62,
127,small,200,groq_worker_2_2,5.34,
128,large,200,groq_worker_1_3,66.44,
129,large,,,240.94,timeout after 240.9s: ReadTimeout
130,large,200,groq_worker_1_2,197.51,
131,small,200,groq_worker_2_4,97.97,
132,small,200,groq_worker_1_3,158.42,
133,large,,,240.94,timeout after 240.9s: ReadTimeout
134,small,200,worker_2_1,44.78,
135,large,,,240.92,timeout after 240.9s: ReadTimeout
136,large,200,groq_worker_2_4,91.26,
137,large,200,groq_worker_1_2,102.08,
138,small,,,240.94,timeout after 240.9s: ReadTimeout
139,small,200,groq_worker_1_3,15.22,
140,large,,,240.94,timeout after 240.9s: ReadTimeout
